Ob,Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Median Income,poverty_rate,percent_completed_hs
8599,IN,Gentryville town,95.9,1.1,1.9,0,1.1,45972,18.1,83.3
8600,IN,Georgetown town,97.3,0.3,0.3,0.6,1.9,69167,2.5,93.6
8601,IN,Glenwood town,100,0,0,0,0.4,46786,23.7,86.4
8602,IN,Goodland town,97.5,0.7,0.4,0,2.1,47083,18,86.1
8603,IN,Goshen city,78.2,2.6,0.5,1.2,28.1,41117,22.6,76
8604,IN,Gosport town,98.5,0.7,0,0.1,1,38977,18.5,78.8
8605,IN,Grabill town,96.8,0.6,0.7,0.5,1.6,45474,11.9,94.8
8606,IN,Grandview town,96.1,1.5,0.3,0,1.1,36750,30.3,84.9
8607,IN,Granger CDP,90.3,2.5,0.1,4.6,2.4,92537,4.3,96.7
8608,IN,Greencastle city,92.4,2.7,0.3,1.9,2.5,45315,12.7,87.1
8609,IN,Greendale city,95.6,1,0.2,0.8,1.6,58281,8.6,95.7
8610,IN,Greenfield city,96.6,0.6,0.3,0.8,1.8,53459,8.5,90.6
8611,IN,Greens Fork town,99.3,0,0.2,0.2,0,41771,29.9,82.1
8612,IN,Greensboro town,100,0,0,0,2.8,30000,30.2,89.4
8613,IN,Greensburg city,96.1,0.4,0.2,1.3,2.4,44744,18.9,87.3
8614,IN,Greentown town,97.1,0.6,0.2,1,1.5,43011,19.2,87.4
8615,IN,Greenville town,95.5,1.5,0.8,0.8,2,59545,8.4,94.6
8616,IN,Greenwood city,90.1,1.7,0.3,3.7,5,54176,13.7,91.5
8617,IN,Griffin town,98.8,0.6,0,0,0,42500,15.9,82.7
8618,IN,Griffith town,75.8,16.9,0.3,0.8,13.3,55490,10.8,92.1
8619,IN,Grissom AFB CDP,74.4,22.5,0.3,0.2,4.6,40746,26.3,79.5
8620,IN,Hagerstown town,97.7,0.6,0.2,0.3,0.8,43424,12.4,92.5
8621,IN,Hamilton town,98.4,0.3,0.2,0.3,1.1,48558,11.5,87.7
8622,IN,Hamlet town,96.6,0,1,0.1,2.6,47308,17.2,80.3
8623,IN,Hammond city,59.4,22.5,0.5,1,34.1,39576,24.9,79.5
8624,IN,Hanna CDP,98.1,0,0.2,0,0.9,59722,6.1,99.6
8625,IN,Hanover town,94.9,2.3,0.2,0.8,2.4,40758,24.8,83.7
8626,IN,Hardinsburg town,100,0,0,0,0.4,40000,24.9,85.2
8627,IN,Harlan CDP,97.4,0.4,0.1,0.1,2.8,64188,4.4,79.3
8628,IN,Harmony town,97.6,0.8,0,0.3,1.2,41853,6.8,89.4
8629,IN,Harrodsburg CDP,95.9,0.7,0.1,0,1.6,51964,23.4,83.9
8630,IN,Hartford City city,97.3,0.3,0.2,0.1,1.2,37934,16,83.6
8631,IN,Hartsville town,97,1.1,0,0,1.1,43594,9,91.8
8632,IN,Hatfield CDP,98,0,0.2,0.1,0.9,50563,8.5,88.2
8633,IN,Haubstadt town,98.2,0.6,0.2,0.2,0.6,62000,7.3,93.7
8634,IN,Hayden CDP,97.5,0.8,0.4,0.2,2.7,53889,12.8,98
8635,IN,Hazleton town,97.3,2.3,0,0,0.4,45769,11,89.8
8636,IN,Hebron town,95.9,1.1,0.2,0.4,6.1,47880,15.5,86.7
8637,IN,Henryville CDP,98.1,0,0,0.4,1.6,55962,14.9,76.6
8638,IN,Herbst CDP,100,0,0,0,0,(X),0,100
8639,IN,Heritage Lake CDP,97.3,0.9,0.4,0.2,1.9,62188,11.1,95.7
8640,IN,Hidden Valley CDP,97.6,0.2,0.1,0.5,1.4,80667,3.8,96.2
8641,IN,Highland CDP,96.1,1.3,0,1.2,0.8,66188,2.2,97.5
8642,IN,Highland town,88.6,4.2,0.2,1.6,12.8,61806,7.5,92.4
8643,IN,Hillsboro town,96.1,0.2,0.7,0,5.4,35096,19.9,91.4
8644,IN,Hoagland CDP,97.7,0.1,0.6,0,0.6,42500,6.8,91.7
8645,IN,Hobart city,85.3,7,0.4,1,13.9,58246,10.1,88.4
8646,IN,Holland town,96,0.2,0.6,0.3,3.7,43594,24,90.7
8647,IN,Holton town,96.3,1.5,0.2,0,0.4,36786,27.5,76.1
8648,IN,Homecroft town,95.7,0.8,0.7,0.7,1.1,73750,7.7,95
8649,IN,Hope town,97.1,0.6,0.1,0.4,1.8,41779,13,92
8650,IN,Howe CDP,82.9,2.7,0.6,3,14.6,33378,59.1,66.4
8651,IN,Hudson Lake CDP,97.1,0.1,0.2,0.1,3,46905,26.1,87.9
8652,IN,Hudson town,98.1,0,0.2,0.6,1.9,43214,21.8,89.2
8653,IN,Huntertown town,93.6,1.4,0.4,2,2.3,70236,4.8,96.4
8654,IN,Huntingburg city,87.3,0.5,0.2,0.3,18.5,41578,22.2,74.6
8655,IN,Huntington city,96.4,0.6,0.4,0.5,2.4,38018,17.9,86
8656,IN,Hymera town,99,0,0.2,0,0.1,37386,21.1,80.8
8657,IN,Idaville CDP,98.7,0.2,0,0,4.8,56071,5.5,92.5
8658,IN,Indian Village town,91,4.5,0,1.5,0,60000,12.7,87.8
8659,IN,Indianapolis city (balance),61.8,27.5,0.3,2.1,9.4,41987,21.3,84.9
8660,IN,Ingalls town,92.4,3,0.4,0.3,3.9,49653,11.6,86.4
8661,IN,Jalapa CDP,98.2,0,0,0.6,0.6,76500,0,89.3
8662,IN,Jamestown town,98.9,0,0,0.5,0.7,53125,14,91.4
8663,IN,Jasonville city,98.1,0.2,0.1,0.4,0.8,29109,28.4,80.3
8664,IN,Jasper city,93.6,0.4,0.2,0.9,7.7,53044,9.4,88.2
8665,IN,Jeffersonville city,80.4,13.2,0.3,1.1,4.1,50990,11.2,88.6
8666,IN,Jonesboro city,97.7,0.1,0.5,0,2.4,32857,22.2,80.3
8667,IN,Jonesville town,92.7,0,2.3,0,4,52500,18.4,87.6
8668,IN,Kempton town,98.8,0,0,0.3,0.9,47292,10.1,77.3
8669,IN,Kendallville city,94.1,0.5,0.2,0.5,5.1,39799,21.3,88.8
8670,IN,Kennard town,99.2,0,0,0.6,0,36563,24.6,80.8
8671,IN,Kent CDP,98.6,1.4,0,0,0,(X),0,100
8672,IN,Kentland town,94.2,0.8,0.1,0.5,8,42286,16.9,87.6
8673,IN,Kewanna town,96.2,1.1,0.3,0.2,2.1,30391,27.1,76.8
8674,IN,Kimmell CDP,94.5,0.5,0,0.2,13.7,43750,1.5,82.7
8675,IN,Kingman town,97.7,0,0,0,1.4,41806,17.8,77.8
8676,IN,Kingsbury town,97.1,0.4,0.4,0,5.4,67813,2.6,88.8
8677,IN,Kingsford Heights town,86.3,8.1,0.6,0.3,5,35417,22.7,73.2
8678,IN,Kirklin town,98.5,0.1,0,0.1,1.3,43393,19.6,82.3
8679,IN,Knightstown town,98,0.1,0.1,0.1,0.6,36920,17.6,91.9
8680,IN,Knightsville town,96.6,1.3,0.2,0.2,0.7,52083,4.4,87.2
8681,IN,Knox city,96.3,0.4,0.2,0.3,2.9,33125,20.9,75.1
8682,IN,Kokomo city,83.5,10.7,0.4,1,3.3,37623,21.3,86.3
8683,IN,Koontz Lake CDP,97.2,0.1,0.1,0.1,2.2,49083,11.3,81.3
8684,IN,Kouts town,97.6,0.3,0.3,0.6,5.1,59444,4.7,91.5
8685,IN,La Crosse town,99.5,0.2,0,0,1.8,45625,8.8,91
8686,IN,La Fontaine town,98.5,0.1,0.2,0,1.1,40089,16.5,84.2
8687,IN,La Paz town,97.9,0.2,0.2,0.2,4.3,45500,13.6,79.9
8688,IN,La Porte city,88.6,3,0.3,0.5,11.2,34900,21.7,84.4
8689,IN,Laconia town,98,0,0,2,0,68286,19.5,86.2
8690,IN,Ladoga town,98.4,0.1,0,0.3,1,49583,16.7,91.3
8691,IN,Lafayette city,83.6,6.2,0.4,1.4,12.1,40419,19.8,85.6
8692,IN,Lagrange town,93.7,0.6,0.4,0.4,9.5,40833,18.1,80.2
8693,IN,Lagro town,96.9,0,1.7,0.5,0,30000,32.9,79.4
8694,IN,Lake Dalecarlia CDP,97.3,0.2,0.1,0.1,3.4,57212,3.9,98.6
8695,IN,Lake Holiday CDP,99.5,0.2,0,0,0.4,73152,7.3,97.6
8696,IN,Lake Santee CDP,97.1,1.2,0.1,0.1,1.5,91577,0,93.5
8697,IN,Lake Station city,79.7,3.6,0.5,0.3,28,39309,26.1,78.5
8698,IN,Lake Village CDP,96.9,0.8,0.5,0.4,2.6,38417,4.2,89.4
8699,IN,Lakes of the Four Seasons CDP,93.4,1.2,0.2,1,8.5,91472,3.2,94.8
8700,IN,Laketon CDP,96,1.4,1.1,0,1.9,35357,37.6,78
8701,IN,Lakeville town,97.5,0.1,0.4,0,3.2,40625,27.8,86.7
8702,IN,Landess CDP,97.3,0,0,0,2.7,(X),2.7,96.3
8703,IN,Lanesville town,98.2,0.4,0,0.2,0.9,48672,7.3,97.9
8704,IN,Lapel town,97.7,0.2,0.3,0.2,0.8,44028,11,95.8
8705,IN,Larwill town,98.9,0,0,0,0,34375,23.7,85.6
8706,IN,Laurel town,98.4,0.2,0.6,0,2.5,21818,54,56.8
8707,IN,Lawrence city,63.2,25.8,0.4,1.4,11.2,48731,18.8,86.1
8708,IN,Lawrenceburg city,93.5,3,0.3,0.8,1.2,38428,15.4,80.5
8709,IN,Leavenworth town,95,2.5,0,0,1.3,37708,23.2,78.6
8710,IN,Lebanon city,96.1,0.5,0.2,0.6,3.1,45424,10,86.6
8711,IN,Leesburg town,91.7,0.2,0.2,2.3,7.7,52000,14.8,90.7
8712,IN,Leo-Cedarville town,97.1,0.1,0.2,0.8,1.6,76538,2.8,95.1
8713,IN,Lewisville town,99.5,0,0,0,1.4,34063,21.6,86.4
8714,IN,Liberty town,96.8,0.8,0.3,0.4,1.5,38173,16,85.5
8715,IN,Ligonier city,69.6,0.4,0.2,0.5,51.5,38953,15.7,53.9
8716,IN,Linden town,97.1,0.5,0.9,0,1.7,46250,15.2,84
8717,IN,Linton city,97.7,0.1,0.3,0.4,1.2,36433,18,81.4
8718,IN,Little York town,97.9,0,0,0,1.6,44063,20.1,77.8
8719,IN,Livonia town,99.2,0,0,0,0,46250,5.3,85.7
8720,IN,Lizton town,97.3,0,0,0.4,1.4,49375,14.1,89.7
8721,IN,Logansport city,80.7,2.3,0.8,1.7,21.6,32982,21.5,72.2
8722,IN,Long Beach town,96.8,1.4,0.3,1.1,0.6,77250,1.4,98.2
8723,IN,Loogootee city,98.3,0.1,0.2,0.3,0.8,39070,20,83.3
8724,IN,Losantville town,97,0,0.4,0,0,30938,12.1,68
8725,IN,Lowell town,95.9,0.5,0.4,0.3,6.9,62403,7.3,90.6
8726,IN,Lynn town,97.7,0.5,0.1,0.7,1.9,37031,18.8,86.8
8727,IN,Lynnville town,98.9,0.1,0.2,0,0.8,57639,7.2,92.1
8728,IN,Lyons town,98.1,0.1,0.5,0.3,1.5,43274,20,77.2
8729,IN,Mackey town,98.1,0,0,0,0,31750,42.4,83.6
8730,IN,Macy town,98.1,0.5,0.5,0,0,35833,15.2,81.7
8731,IN,Madison city,93.5,2.8,0.2,1.2,1.7,46153,15.5,86.9
8732,IN,Manilla CDP,96.3,0,0.4,1.1,2.6,78214,27.1,86.9
8733,IN,Marengo town,95.4,0.1,0.8,0,2.1,23929,39.1,73.7
8734,IN,Marion city,78.1,14.7,0.4,0.7,5.5,32716,25.7,81.7
8735,IN,Markle town,98.3,0.8,0,0.2,1.2,48409,8.7,95.1
8736,IN,Markleville town,97.9,0.2,0,0.2,0.9,46875,8,91.9
8737,IN,Marshall town,98.5,0,1.2,0,1.2,41607,16.9,95.1
8738,IN,Martinsville city,97.5,0.2,0.3,0.4,1.3,36403,24.9,82.9
8739,IN,Matthews town,98,0.8,0.2,0,0.2,33125,18.9,78.3
8740,IN,Mauckport town,100,0,0,0,0,33393,6.8,82.4
8741,IN,McCordsville town,83.2,10.3,0.3,2.3,4.4,83479,1.3,99.2
8742,IN,Mecca town,97.6,0,0,0.3,0.9,35000,29.9,73.5
8743,IN,Medaryville town,94.8,0,0.2,0,6.4,33214,22.2,70
8744,IN,Medora town,97.3,0.1,0.1,0,1,28333,25.6,81.3
8745,IN,Mellott town,99,0,0,0,2.5,28333,20.7,78.6
8746,IN,Melody Hill CDP,93.9,3.4,0.1,1.2,1.5,75436,3.9,96
8747,IN,Memphis CDP,96.5,1.7,0,0,1.4,49243,13.7,92.6
8748,IN,Mentone town,94.1,0.3,0.8,0,4.8,43482,11.9,83.9
8749,IN,Meridian Hills town,95.9,1.2,0.1,1.1,1.7,119830,5.7,99
8750,IN,Merom town,100,0,0,0,0.4,30000,26.1,87.5
8751,IN,Merrillville town,46.4,44.5,0.2,1.2,12.9,52810,13.9,91.2
8752,IN,Metamora CDP,93.6,0,0.5,0,5.3,23750,0,44
8753,IN,Mexico CDP,97.2,0.2,1.3,0.1,0.8,49397,0,88
8754,IN,Michiana Shores town,97.4,0,0.3,0,2.9,76875,9,94.6
8755,IN,Michigan City city,64.9,28.1,0.4,0.7,5.9,35503,27.8,84.3
8756,IN,Michigantown town,97.9,0.4,0,0.4,2.6,50833,5.3,90
8757,IN,Middlebury town,95.6,0.6,0.1,1.2,3.2,57091,9.8,86.1
8758,IN,Middletown town,97.6,0.3,0.1,0.5,0.8,37238,23.3,87.6
8759,IN,Mier CDP,98.7,0,0,0,1.3,60500,0,100
8760,IN,Milan town,97.7,0.3,0.2,0.1,0.8,49737,8.9,82.3
8761,IN,Milford town,88.3,0.7,0.3,0.3,12.4,38598,21.6,79.1
8762,IN,Millersburg town,97,0.6,0.9,0,4.4,45789,9.4,76.2
8763,IN,Millhousen town,99.2,0,0,0,0,73438,1.9,96.3
8764,IN,Milltown town,97.7,0,0.1,0.4,0,30586,11.9,78.5
8765,IN,Milroy CDP,96.9,0.2,1.2,0.2,1.8,39406,34,62
8766,IN,Milton town,98.4,0.2,1.2,0,0.8,45000,31.7,82.1
8767,IN,Mishawaka city,86.1,6.9,0.4,1.9,4.5,38143,19.3,86.1
8768,IN,Mitchell city,97.6,0.4,0.2,0.3,1.4,34576,14.7,80.5
8769,IN,Modoc town,94.9,0.5,0,0,1.5,40833,16.5,79.7
8770,IN,Monon town,77.2,0.6,0.4,0.2,28.4,35542,31.1,74.5
8771,IN,Monroe City town,98.7,0.6,0.2,0,0.7,61364,7,94.4
8772,IN,Monroe town,99,0,0,0.2,2.3,48750,3.3,90.4
8773,IN,Monroeville town,98.9,0,0,0,1.9,42632,12,88.7
8774,IN,Monrovia town,97.3,1.4,0.1,0.6,1.2,59750,11.7,88.8
8775,IN,Monterey town,97.7,0.5,0.5,0,9.6,50938,3.9,88.5
8776,IN,Montezuma town,96.1,0.2,0.4,0.5,4.3,36136,30.4,80.1
8777,IN,Montgomery town,99.4,0,0,0,0.6,41250,12.8,84
8778,IN,Monticello city,90.8,0.4,0.4,0.8,12.5,36330,12.2,85.9
8779,IN,Montmorenci CDP,98.8,0,0.4,0.4,0.4,85179,0,81.9
8780,IN,Montpelier city,97.9,0.3,0.3,0.1,0.9,33447,17.6,81.9
8781,IN,Mooreland town,97.3,0,0,0,1.6,32250,25.7,87.6
8782,IN,Moores Hill town,97.8,0.2,0,0.2,0.3,42875,28.3,75.4
8783,IN,Mooresville town,97.5,0.3,0.2,0.5,1.1,51008,12.4,90.1
8784,IN,Morgantown town,98.5,0.1,0.4,0.2,0.4,37009,11.8,84.6
8785,IN,Morocco town,99.1,0.1,0.1,0.2,2.2,43359,14.6,81
8786,IN,Morristown town,98.6,0.1,0.7,0.1,1.3,46875,11.2,84.7
8787,IN,Mount Auburn town,98.3,0,0,0.9,0,42500,14.2,90
8788,IN,Mount Ayr town,97.5,0,0,0,5.7,35625,6.3,71
8789,IN,Mount Carmel town,97.7,0,0,0,0,36042,32.8,61.8
8790,IN,Mount Etna town,96.8,0,0,0,2.1,44000,1,90.9
8791,IN,Mount Summit town,97.2,0,0.3,0,2.3,50625,13.5,86.5
8792,IN,Mount Vernon city,93.4,2.8,0.3,0.4,1.7,46422,18,89.8
8793,IN,Mulberry town,98.4,0.2,0.4,0,1,47500,11.1,81.9
8794,IN,Muncie city,84,10.9,0.3,1.2,2.3,31044,32.2,86.4
8795,IN,Munster town,85.6,3.5,0.2,5.8,10.2,70503,8.6,93.7
8796,IN,Napoleon town,100,0,0,0,1.3,37500,15.3,82.7
8797,IN,Nappanee city,94.8,0.7,0.3,0.2,6.2,48918,10.9,82.2
8798,IN,Nashville town,98.1,0.4,0.2,0.1,0.7,39280,21.8,85.8
8799,IN,New Albany city,85.8,8.7,0.2,0.7,3.7,40413,21.6,84.6
8800,IN,New Amsterdam town,85.2,0,0,0,11.1,83750,0,91.7
8801,IN,New Carlisle town,96,0.8,0.6,0.4,1.3,53684,8.4,91.6
8802,IN,New Castle city,95.1,1.9,0.2,0.4,1.7,32840,23.8,82.8
8803,IN,New Chicago town,81,2.2,0.7,0.7,27.4,38879,22.3,77.3
8804,IN,New Goshen CDP,98.5,0,0,0,0,65897,0,94
8805,IN,New Harmony town,99,0,0.3,0.1,0,48036,7.4,85.6
8806,IN,New Haven city,93.2,3.3,0.4,0.4,3.1,46560,16.1,87.8
8807,IN,New Market town,99.1,0,0,0.2,0.9,56250,7.5,92.9
8808,IN,New Middletown town,95.7,2.2,0,0,0,61250,33.3,89.5
8809,IN,New Palestine town,97.8,0,0.2,0.6,1,65947,6.9,95.6
8810,IN,New Paris CDP,98.1,0.1,0.2,0.1,3.2,36567,8.9,90.4
8811,IN,New Pekin town,97.1,0.6,0.2,0.1,2.4,32283,28,72.5
8812,IN,New Point town,99.4,0,0,0.3,0.6,41389,7.6,83.7
8813,IN,New Richmond town,97,0,0,0.3,0.6,51250,7.3,87.1
8814,IN,New Ross town,96.8,0,0,0,1.7,52083,21.6,82.7
8815,IN,New Salisbury CDP,97.9,0.7,0.2,0.7,0.7,49667,10.9,100
8816,IN,New Trenton CDP,98.8,0,0,0,0.4,57944,7.3,81.4
8817,IN,New Washington CDP,99.1,0.2,0,0,0.9,70227,10.6,100
8818,IN,New Whiteland town,96.6,0.4,0.1,1,2,53844,6,94.8
8819,IN,Newberry town,97.9,0,1,0,2.6,43750,13.7,84.2
8820,IN,Newburgh town,94.2,1.4,0.1,2,2,50089,8.3,94.9
8821,IN,Newport town,99.8,0,0,0,0,47625,4.5,87.5
8822,IN,Newtown town,95.3,2,0.8,0,1.6,58125,12.1,92.6
8823,IN,Noblesville city,91.1,3.6,0.2,1.7,4.3,69841,6.9,94.4
8824,IN,North Crows Nest town,100,0,0,0,0,"250,000+",13,97
8825,IN,North Judson town,96.7,0.1,0.3,0.2,7.3,37202,21,85.4
8826,IN,North Liberty town,96.2,0.5,0.4,0.4,2.5,38333,25.1,88.2
8827,IN,North Manchester town,95.2,1.1,0.3,0.8,3.8,42281,15.1,90
8828,IN,North Salem town,98.1,0.2,0,0.4,0.6,41818,8.5,84.1
8829,IN,North Terre Haute CDP,95,1.9,0.2,0.5,1.2,45085,13.1,88.3
8830,IN,North Vernon city,95,1.5,0.2,0.4,2.4,38725,24.4,82.6
8831,IN,North Webster town,96.3,0.6,0.1,0.3,2.5,40352,13.7,85.5
8832,IN,Norway CDP,97.9,0,0.3,0.8,3.1,48233,5.4,82.3
8833,IN,Notre Dame CDP,84,2.8,0.2,7.4,9.9,(X),80.1,98.5
8834,IN,Oakland City city,97.2,0.4,0.2,0.6,2,35125,14,78.9
8835,IN,Oaktown town,98,0.7,0,0.5,2.3,37574,17.5,89
8836,IN,Odon town,98.3,0,0.6,0.3,0.3,30714,18.4,87.7
8837,IN,Ogden Dunes town,96.1,1.1,0.1,1.3,3.2,101250,3.8,99.3
8838,IN,Oldenburg town,98.5,0.1,0,0,1.9,58906,21.4,92.9
8839,IN,Onward town,98,0,0,2,0,27639,21.8,92.6
8840,IN,Oolitic town,98.7,0.3,0,0.3,1,45921,22.1,82.8
8841,IN,Orestes town,95.7,0.2,0.5,0,4.8,42344,23,84.9
8842,IN,Orland town,96.3,1.2,0,0,9,42188,10.3,86.6
8843,IN,Orleans town,98.6,0.1,0.3,0.4,0.6,33051,24.4,76.8
8844,IN,Osceola town,95.5,1.4,0.2,0.7,2.1,59832,5.3,85.9
8845,IN,Osgood town,98.2,0.1,0.2,0,1.3,41010,10.2,77.4
8846,IN,Ossian town,97.4,0.2,0.1,0.5,1.4,52857,13.9,92.2
8847,IN,Otterbein town,96.8,0.7,0.3,0.1,3.1,43594,19.7,85.5
8848,IN,Otwell CDP,97.7,0.7,0,0.2,2.1,(X),10.6,70.1
8849,IN,Owensburg CDP,98.5,0,0,1,0.2,(X),16.6,88.6
8850,IN,Owensville town,97.9,0.2,0.7,0.2,1.2,40129,9.5,89.2
8851,IN,Oxford town,98.4,0.1,0.5,0.1,0.7,45682,10.9,84.1
8852,IN,Painted Hills CDP,98.4,0.1,0,0.1,1.6,52313,4.7,97.4
8853,IN,Palmyra town,96.1,0.1,0.2,1.6,1,42381,16.4,92.7
8854,IN,Paoli town,97.7,0.3,0.2,0.3,1.3,31971,19.6,81
8855,IN,Paragon town,97.4,0.2,0,0,0.9,35625,31,78.3
8856,IN,Parker City town,97.7,0.5,0.4,0,0.4,38589,18.3,85
8857,IN,Parkers Settlement CDP,98.6,0.4,0,0.8,0.3,63958,0.8,91.7
8858,IN,Patoka town,95.8,1.1,0.4,0.3,1,39714,16,87.8
8859,IN,Patriot town,98.1,0,0.5,0.5,1.4,41250,23.3,74.3
8860,IN,Pendleton town,96.6,1,0.3,0.8,1,54198,6.7,92.5
8861,IN,Pennville town,97.1,0,0,0.4,3.6,36719,18.9,82.4
8862,IN,Perrysville town,98.2,0.4,0,0.2,0.2,39706,14.8,93.6
8863,IN,Peru city,93.1,2.5,1.3,0.4,2.4,33107,21.4,82.4
8864,IN,Petersburg city,97.7,0.5,0.3,0.5,0.9,35918,14.7,81.7
8865,IN,Pierceton town,96.8,0,0.3,0.2,6.1,46875,18.1,83.5
8866,IN,Pine Village town,99.1,0,0,0.9,0.5,36500,9.3,89.7
8867,IN,Pittsboro town,96.7,0.4,0.4,0.7,1.4,78047,5.2,92.5
8868,IN,Plainfield town,85.2,7.9,0.2,3.3,4,59951,8.9,91.4
8869,IN,Plainville town,97.7,0.4,0,1.1,0.4,39226,13.9,79.3
8870,IN,Plymouth city,87.2,0.9,0.6,0.5,20,34478,23.8,79.1
8871,IN,Point Isabel CDP,86.8,0,0,0,9.9,69271,0,100
8872,IN,Poneto town,99.4,0,0.6,0,1.8,45625,17.4,89.6
8873,IN,Portage city,83.6,7.3,0.4,0.9,16.4,53730,16.3,88.2
8874,IN,Porter town,94.3,1.1,0.3,0.9,6.6,76053,13,90.6
8875,IN,Portland city,94.5,0.4,0,0.5,5.8,34375,15.6,81.6
8876,IN,Poseyville town,98.9,0,0.3,0.2,0.2,45750,13.8,88
8877,IN,Pottawattamie Park town,92.3,7.2,0,0,0.4,87188,10.2,94.8
8878,IN,Princes Lakes town,98.8,0.2,0.4,0.3,0.9,67500,7.5,90.8
8879,IN,Princeton city,90.4,4.6,0.2,0.7,2.5,40488,14.8,86.8
8880,IN,Raglesville CDP,100,0,0,0,0.7,-,0,0
8881,IN,Ragsdale CDP,100,0,0,0,1.6,83203,8.3,91.6
8882,IN,Redkey town,98.2,0.2,0,0.2,1.4,35417,22.5,90.9
8883,IN,Remington town,96.5,0.6,0.1,0.3,3.1,47635,15.5,83.3
8884,IN,Rensselaer city,95.4,0.7,0.4,0.4,5.4,43560,16.9,83.2
8885,IN,Reynolds town,91.4,0.2,2.1,0,9.9,50167,6.2,86.9
8886,IN,Richland town,98.6,0.2,0.5,0,1.2,50938,5.4,90.8
8887,IN,Richmond city,83.9,8.6,0.3,1.1,4.1,30357,27.3,80.6
8888,IN,Ridgeville town,97.4,0,0.4,0.4,0.6,38594,16.2,80.8
8889,IN,Riley town,97.7,0.5,0.5,0,0.5,43333,6.4,91.1
8890,IN,Rising Sun city,97.8,0.7,0.1,0.4,1.8,37596,12.3,84.9
8891,IN,River Forest town,100,0,0,0,0,(X),0,100
8892,IN,Roachdale town,99.2,0,0,0,0.4,40395,23.3,83.6
8893,IN,Roann town,98.5,0,0.6,0.4,0,40156,31.3,82.8
8894,IN,Roanoke town,97.1,0.2,0.1,0.5,1.7,65694,7,96.5
8895,IN,Rochester city,95.9,0.6,0.4,0.9,3.4,36692,18.7,86
8896,IN,Rockport city,95.9,1.8,0.2,0.3,2.6,29716,25.7,80.9
8897,IN,Rockville town,98.7,0.1,0.5,0.2,0.7,26035,24.3,89.4
8898,IN,Rocky Ripple town,89.1,6.1,0.5,0.8,2.5,50417,17,94.8
8899,IN,Rolling Prairie CDP,98.3,0.3,0.2,0.2,1.2,81250,26.8,100
8900,IN,Rome City town,98.8,0.4,0.2,0.1,1.1,47917,16.1,86.2
8901,IN,Rosedale town,98.2,0,0.1,0,1.1,32938,22.8,96.1
8902,IN,Roseland town,87.5,2.7,1,4.6,5.1,36375,23.3,90.5
8903,IN,Roselawn CDP,94.2,0.3,0.1,0.7,9.2,51490,8.8,85.8
8904,IN,Rossville town,97.5,0.4,0.2,0.5,0.8,48580,14.8,88.6
8905,IN,Royal Center town,97.4,0.8,0.3,0.5,1.3,39500,26.2,88.6
8906,IN,Rushville city,95.8,1.5,0.1,0.6,1.2,34942,22.3,81.4
8907,IN,Russellville town,97.5,0,1.1,0,0.3,33958,23.2,84.6
8908,IN,Russiaville town,98.6,0.2,0.2,0.2,1.3,51034,10.6,93.8
8909,IN,Salamonia town,98.7,0,0.6,0,0.6,30000,31.5,79.8
8910,IN,Salem city,97.5,0.4,0.3,0.6,1,31980,22.2,82.4
8911,IN,Salt Creek Commons CDP,94.2,1,0.5,1.6,8.3,62644,7.5,91.4
8912,IN,Saltillo town,98.9,0,0,0,1.1,(X),38,62
8913,IN,San Pierre CDP,97.2,0,0.7,0,0,40500,0,100
8914,IN,Sandborn town,98.6,0.2,1,0,0.7,41563,6,82.4
8915,IN,Santa Claus town,98.1,0.3,0.1,0.5,1.3,71979,3,95.9
8916,IN,Saratoga town,98.8,0,0,0,2,25893,15.7,72.3
8917,IN,Schererville town,86.8,5.4,0.2,2.8,10.6,65661,5.9,92.7
8918,IN,Schneider town,97.1,0,1.1,1.1,2.5,39583,17.6,87
8919,IN,Scipio CDP,100,0,0,0,0.7,(X),0,84.1
8920,IN,Scotland CDP,99.3,0,0,0.7,2.2,(X),0,83.8
8921,IN,Scottsburg city,97.2,0.3,0.2,0.9,1.8,41007,26.5,84.1
8922,IN,Seelyville town,97.8,0.4,0.2,0.2,0.9,39667,21.8,91.3
8923,IN,Sellersburg town,94.2,0.8,0.3,0.3,5.5,63611,8.2,91.5
8924,IN,Selma town,97.2,0.7,0.5,0.2,0.9,40096,12.3,91.3
8925,IN,Seymour city,90.3,1.3,0.2,1.2,11.5,44310,17.1,85.4
8926,IN,Shadeland town,96,0.4,0.6,0.5,3.3,66179,4.4,93.1
8927,IN,Shamrock Lakes town,98.7,0,0,1.3,0,73750,6.5,95.8
8928,IN,Sharpsville town,97.5,0.2,0,0,2,55341,8.9,90.2
8929,IN,Shelburn town,96.2,0,0.5,0.6,1.2,32400,27.2,76.2
8930,IN,Shelby CDP,95.5,1.7,0.7,0.2,0.9,(X),12.9,80.5
8931,IN,Shelbyville city,91.9,1.9,0.2,1,7.1,43395,16.9,83.4
8932,IN,Shepardsville CDP,99.6,0.4,0,0,0,95313,1.6,90.7
8933,IN,Sheridan town,95.3,0.8,0.3,0.4,3.3,42935,17.6,87.6
8934,IN,Shipshewana town,98.3,0.2,0.5,0.2,0.8,40083,12.8,72.3
8935,IN,Shirley town,97.7,0.6,0.6,0.4,0.4,35446,16.4,83.5
8936,IN,Shoals town,97.4,0.3,0.1,0.3,1.3,29250,16.4,76.5
