Ob,Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Median Income,poverty_rate,percent_completed_hs
81,AK,Eagle city,90.7,0,8.1,0,0,33125,25.8,90.7
82,AK,Eagle Village CDP,55.2,1.5,38.8,1.5,0,(X),17.6,82.4
83,AK,Eek city,2.4,0,97.6,0,1,39063,21.2,68.7
84,AK,Egegik city,47.7,0,39.4,0,1.8,38125,17.6,91.1
85,AK,Eielson AFB CDP,80.3,7.8,0.9,2.6,7.9,53388,6.8,96.6
86,AK,Ekwok city,5.2,0,90.4,0,2.6,31875,28.6,63.4
87,AK,Elfin Cove CDP,70,0,5,0,0,106667,0,100
88,AK,Elim city,7.3,0,89.7,0.3,0.3,37188,29.3,86.9
89,AK,Emmonak city,3.1,0,96.3,0.1,0.1,44773,25.8,83.9
90,AK,Ester CDP,84.6,2.1,6.7,1.2,3.3,68163,9.1,95
91,AK,Eureka Roadhouse CDP,75.9,0,6.9,3.4,6.9,-,-,-
92,AK,Evansville CDP,46.7,0,53.3,0,0,23750,0,78.6
93,AK,Excursion Inlet CDP,75,0,0,0,8.3,-,12.5,86.7
94,AK,Fairbanks city,66.1,9,10,3.6,9,55229,13.1,91.2
95,AK,False Pass city,20,0,77.1,2.9,0,55625,5.4,100
96,AK,Farm Loop CDP,88.8,0.8,4.2,0.9,1.9,82250,4.1,92.4
97,AK,Farmers Loop CDP,84,0.8,6.3,1.8,2.9,100703,5.8,98.9
98,AK,Ferry CDP,97,0,0,0,0,-,100,100
99,AK,Fishhook CDP,87.5,0.6,3.6,1.2,2.8,86917,4.8,94.5
100,AK,Flat CDP,(X),(X),(X),(X),(X),-,-,-
101,AK,Fort Greely CDP,78.3,4.3,1.9,1.5,13.2,(X),0,100
102,AK,Fort Yukon city,7.7,0.5,89.2,0.2,0.3,39583,18.5,77.1
103,AK,Four Mile Road CDP,53.5,0,30.2,2.3,0,-,0,50
104,AK,Fox CDP,82,0.5,7.4,0.7,5.3,76563,0,100
105,AK,Fox River CDP,98.8,0,0,1.2,0,57083,17.1,37.9
106,AK,Fritz Creek CDP,89.9,0.5,2.9,0.8,2.6,61875,11.7,92.7
107,AK,Funny River CDP,91,0.1,4.6,0.2,1.1,59314,11.9,94.3
108,AK,Gakona CDP,79.4,0,19.7,0,0.9,80625,8.8,92.9
109,AK,Galena city,29.4,0,63.6,0.6,2.3,63333,7.9,86.4
110,AK,Gambell city,3.8,0,95.6,0.1,0.4,29417,41.3,72.4
111,AK,Game Creek CDP,100,0,0,0,0,-,0,100
112,AK,Gateway CDP,85.3,1,4.2,1.8,3.7,92739,7.8,96.1
113,AK,Glacier View CDP,94,0,0.9,0.4,3,43000,9.2,90.2
114,AK,Glennallen CDP,77.4,0.4,7.7,0.6,1.4,(X),0,94.4
115,AK,Goldstream CDP,89,0.6,3.4,0.7,2.5,88371,3.7,97.3
116,AK,Golovin city,4.5,0,92.9,0,0.6,40000,39.4,90.4
117,AK,Goodnews Bay city,4.5,0,94.7,0,0.4,30313,36.2,58.6
118,AK,Grayling city,6.7,0,87.1,0,0,20417,42,70.4
119,AK,Gulkana CDP,23.5,0,76.5,0,4.2,(X),7.8,91.2
120,AK,Gustavus city,91.4,0,2.7,1.1,1.6,57639,8.1,95.6
121,AK,Haines CDP,81.1,0.6,11.2,0.5,1.7,69735,5.1,95.4
122,AK,Halibut Cove CDP,86.8,0,6.6,0,1.3,-,0,100
123,AK,Happy Valley CDP,87.5,0.2,5.9,0.3,2,41625,15.5,91.4
124,AK,Harding-Birch Lakes CDP,93.3,0.3,3.3,0,2.7,51042,4.2,94.5
125,AK,Healy CDP,91.5,0.4,2.1,1.6,2.1,88462,6.8,93.6
126,AK,Healy Lake CDP,15.4,0,84.6,0,0,-,-,-
127,AK,Hobart Bay CDP,0,0,100,0,0,-,-,-
128,AK,Hollis CDP,89.3,0,4.5,0.9,0.9,103571,4.8,89.5
